422, 402, 479, 522, 422, 422 
3343, 3186, 3793, 4130, 3343, 3343
2584,	2462,	2931,	3192,	2584, 2584
2043,	1947,	2318,	2524,	2043, 2043
638,	608,	723,	788,	638, 638
765,	729,	868,	945,	765, 765
2561,	2441,	2906,	3164,	2561, 2561
2975,	2835,	3375,	3675,	2975, 2975
2544,	2425,	2886,	3143,	2544, 2544
1564,	1490,	1774,	1932,	1564, 1564
2913,	2776,	3304,	3598,	2913, 2913
1615,	1539,	1832,	1995,	1615, 1615
793, 756,	900, 980,	793, 793
861, 821,	977, 1064, 861, 861
1439,	1372,	1633,	1778,	1439, 1439
612, 583,	694, 756, 612, 612
1238, 1180,	1405,	1530,	1238, 1238
2646,	2522,	3002,	3269,	2646, 2646
164, 157,	186, 203,	164, 164
1757,	1674,	1993,	2170,	1757, 1757
